filename,path,extension,size_bytes,mod_time_unix,source_user,source_type,label_finance,label_hr,label_it,label_general
04-30202-CV0.docx,Z:\HR\Recruiting\Reqs\2025\Docx,.docx,115343,1615392914,gtaylor,govdoc_real,0,0,0,0
resume.js,C:\Work\Projects\website\frontend\pages,.js,572,1719211103,ariel00,github_real,0,1,0,1
application.yml,C:\Users\alexander76\Desktop\Coding,.yml,1389,1733711139,dev_injector,secret_injection,0,0,1,1
nuget.config,C:\Users\robert42\Desktop\Code_Review,.config,2658,1709120494,dev_injector,secret_injection,0,0,1,1
99-0233.cvr.docx,Z:\HR\Recruiting\Reqs\2024,.docx,188743,1666459516,andrea41,govdoc_real,0,0,0,0
shippingInvoice.js,C:\Users\qlee\Downloads\ReactionSweeGrass-v2-master\imports\plugins\core\orders\client\templates\workflow,.js,17911,1693563864,qlee,github_real,1,0,0,1
secrets.json,C:\Users\zsims\Documents\GitHub\config,.json,2988,1728308251,dev_injector,secret_injection,0,0,1,1
keystore.json,C:\Users\aharper\Documents\GitHub\apiman-docker\vertx-standalone\files\bak,.json,74140,1702660550,dev_injector,secret_injection,0,0,1,1
id_rsa,C:\Users\xestrada\source\repos\idudance\wp-content\themes\itheme2,,68391,1725058342,dev_injector,secret_injection,0,0,1,1
DBH_01092003_1-01cv180_UNCLE_HENRYS_V_PLAUT.pdf,Z:\HR\Recruiting\Reqs\2025\Uncle\Plaut,.pdf,10485,1515599708,jacobjones,govdoc_real,0,0,0,0
03-11064-CV0.docx,Z:\HR\Recruiting\Reqs\2025\Docx,.docx,83886,1578572746,goodjeffrey,govdoc_real,0,0,0,0
certificate.p12,C:\Users\kmorris\source\repos\KapitchiIdentity,.p12,97886,1708711665,dev_injector,secret_injection,0,0,1,1
.env.local,C:\Users\rogersalexa\Desktop\Coding,.local,3362,1707888227,dev_injector,secret_injection,0,0,1,1
Employee%20Newsletter%20November%2008[1].pub,C:\Users\omiller\OneDrive - Corp\HR_Docs\Handbooks,.pub,796917,1701181538,omiller,govdoc_real,0,1,0,1
97ma32ecv.pdf,Z:\HR\Recruiting\Reqs\2024,.pdf,41943,1397925538,patriciawalsh,govdoc_real,0,0,0,0
SRS Salt Waste 3116 Determination Final.docx,C:\Users\marygonzalez\OneDrive - Corp\HR_Docs\Handbooks\Docx,.docx,1447034,1610628368,marygonzalez,govdoc_real,0,0,0,0
94-3299etal.cvr.docx,Z:\HR\Recruiting\Reqs\2024,.docx,31457,1666459506,vanessaburton,govdoc_real,0,0,0,0
kubeconfig.yaml,C:\Work\Projects\Poseidon\src,.yaml,1506,1703675792,dev_injector,secret_injection,0,0,1,1
config.php,C:\Users\jeffreycampbell\Downloads\WebImageBrowser-master\config,.php,2997,1710176598,dev_injector,secret_injection,0,0,1,1
db.sqlite3,C:\Program Files\Enterprise Apps\referencesource\System.Core\System\Linq\Parallel\Partitioning,.sqlite3,15273,1700423709,dev_injector,secret_injection,0,0,1,1
JAW_11212006_1-06cv36_AKERSON_V_FALCON.pdf,Z:\HR\Recruiting\Reqs\2024,.pdf,41943,1637667996,phillipbolton,govdoc_real,0,0,0,0
20140311222555_create_budgets_users.rb,C:\Users\christinacox\Documents\GitHub\manatee\db\migrate,.rb,193,1694998850,christinacox,github_real,1,0,0,1
compflt_tr.pdf,Z:\HR\Payroll\Cycles\2025,.pdf,367001,1696613402,phillipbolton,govdoc_real,1,0,0,1
local_settings.py,C:\GitLab-Runner\builds\926876\freefalcon-central,.py,965,1732839683,dev_injector,secret_injection,0,0,1,1
SaveBudgetPeriodRule.java,C:\inetpub\wwwroot\kc.preclean\coeus-code\src\main\java\org\kuali\coeus\common\budget\framework\period,.java,1082,1676200638,jamie87,github_real,1,0,0,1
employee.css,C:\Users\devops\Desktop\Coding\distribution\web\css,.css,425,1724363609,devops,github_real,0,1,0,1
SEC resume 12-2025.docx,C:\Users\virginia85\Documents\HR\Talent_Acquisition\Candidates\Docx,.docx,62914,1705478760,virginia85,govdoc_real,0,1,0,1
aws_credentials,C:\Users\hweaver\Desktop\Coding\geoprojects,,145668,1724980301,dev_injector,secret_injection,0,0,1,1
ForecastFragment.java,C:\Users\alejandro42\Dev\Sunshine\app\src\main\java\com\dreamdevs\sunshine\fragment,.java,12550,1698423768,alejandro42,github_real,1,0,0,1
config.yml,C:\GitLab-Runner\builds\741423\content_manager,.yml,3184,1715868058,dev_injector,secret_injection,0,0,1,1
badsyntax_future9.py,C:\Python312\Lib\test,.py,151,1603595246,jo,system_noise,0,0,0,0
config.json,C:\Users\walkerdarlene\Desktop\Coding,.json,3824,1706466849,dev_injector,secret_injection,0,0,1,1
MACA_CENTENNIAL_ALL_TABS_CVR.pdf,Z:\HR\Recruiting\Reqs\2024,.pdf,251658,1660875706,larsenbrian,govdoc_real,0,0,0,0
05-20578-CV0.docx,Z:\HR\Recruiting\Reqs\2024\Docx,.docx,73400,1628350384,racheldavis,govdoc_real,0,0,0,0
secrets.py,C:\Users\weaverlauren\source\repos,.py,2130,1705347436,dev_injector,secret_injection,0,0,1,1
application.yml,C:\Work\Projects\climateDebateExplorer\ENB-data,.yml,2834,1735140190,dev_injector,secret_injection,0,0,1,1
data.sqlite,C:\Users\amanda35\source\repos\skyroom\src\Factory,.sqlite,145798,1705896073,dev_injector,secret_injection,0,0,1,1
accounts.dump,C:\Users\atkinsstephanie\Desktop\Coding\homebrew-core\Formula,.dump,46271,1729063355,dev_injector,secret_injection,0,0,1,1
CVBNoticeJulyAugSept2003.docx,Z:\HR\Recruiting\Reqs\2024,.docx,20971,1657362700,rodriguezevelyn,govdoc_real,0,0,0,0
badsyntax_future9.py,C:\Python312\Lib\test,.py,151,1603595246,charlie,system_noise,0,0,0,0
access_keys.csv,C:\Users\rhernandez\Desktop\Code_Review\matrix\lib\matrix,.csv,101400,1699150855,dev_injector,secret_injection,0,0,1,1
cmmfederalcourtcomplaint.pdf,Z:\HR\Payroll\Cycles\2024,.pdf,41943,1649457666,sara02,govdoc_real,0,0,0,0
FINAL- NIH Manual 2300-451-1 Employee Awards Program _7-18-07_.docx,C:\Users\hubbardkimberly\OneDrive - Corp\HR_Docs\Handbooks\Program,.docx,94371,1663854210,hubbardkimberly,govdoc_real,0,0,0,0
Rafael_resume_2005.docx,C:\Users\randallallison\Documents\HR\Talent_Acquisition\Candidates,.docx,104857,1591371172,randallallison,govdoc_real,0,0,0,0
cert.pfx,C:\Users\ecosta\Desktop\Code_Review\alien4cloud\alien4cloud-security\src\main\java\alien4cloud\security\groups\rest,.pfx,42124,1729932329,dev_injector,secret_injection,0,0,1,1
TE - 13 GDC NSN Listing (Complete).xlsx,Z:\HR\Payroll\Cycles\2024\Listing,.xlsx,283115,1709760494,andersondylan,govdoc_real,1,0,0,1
RUI COSTA CV 0109.docx,Z:\HR\Recruiting\Reqs\2024\Docx\Docx,.docx,62914,1706458488,chelseakline,govdoc_real,0,1,0,1
auth.json,C:\Users\sethhunter\Downloads\js-misc-master,.json,778,1691123259,dev_injector,secret_injection,0,0,1,1
SIS_Job Description_1.docx,Z:\HR\Recruiting\Reqs\2023,.docx,41943,1707855134,william92,govdoc_real,0,1,0,1
Employee.php,C:\Work\Projects\employee-project\employee_project\classes,.php,4612,1697238998,georgesparks,github_real,0,1,0,1
ssl_key.pem,C:\Python312\Lib\test,.pem,497,1648775998,jo,system_noise,0,0,0,0
AWCF_Description.docx,Z:\HR\Recruiting\Reqs\2025\Docx,.docx,408944,1671700618,scottjonathan,govdoc_real,0,0,0,0
02-30183-CV0.docx,Z:\HR\Recruiting\Reqs\2023,.docx,146800,1579615046,robert46,govdoc_real,0,0,0,0
client.ovpn,C:\Users\phughes\source\repos\datacollector\redis-lib\src\main\java\com\streamsets\pipeline\stage\destination\redis,.ovpn,122316,1694442103,dev_injector,secret_injection,0,0,1,1
03-50865-CV0.docx,Z:\HR\Recruiting\Reqs\2025,.docx,52428,1570032418,butlerlarry,govdoc_real,0,0,0,0
auth_key,C:\Work\Projects\document\pages\tests,,118571,1714708089,dev_injector,secret_injection,0,0,1,1
TAXREFORM_Chap1_10-31.indd,C:\Users\rgeorge\Pictures\Scans,.indd,251658,1647612852,rgeorge,govdoc_real,0,0,0,0
db.sqlite3,C:\Users\ashleywagner\source\repos\erel-maven-plugin\src\main\java\net\erel\maven\plugins\mojo,.sqlite3,112142,1710754945,dev_injector,secret_injection,0,0,1,1
2025 FS Salary Scales - WORD- CORRECTED _2_.docx,Z:\HR\Payroll\Cycles\2025,.docx,251658,1710186662,ybrown,govdoc_real,0,1,0,1
taxcuts.quotes.part.two.5.05.03.doc,Z:\Sales\Pipeline_Reports\2023\Part\Quotes,.doc,304087,1527172484,sanderssamantha,govdoc_real,0,0,0,0
default_wallet,C:\Users\pottspatricia\Documents\GitHub\chef-vimrc,,135960,1728619242,dev_injector,secret_injection,0,0,1,1
Written Description Training materials Website 2-28-00.pdf,Z:\HR\Recruiting\Reqs\2024\Training,.pdf,104857,1425051258,dcarrillo,govdoc_real,0,0,0,0
Senegal FY2003 No Budget Final.docx,Z:\Finance\General_Ledger\2025\Senegal,.docx,52428,1605013318,collinsvirginia,govdoc_real,0,0,0,0
weaponupgradescpuneedbonuspostpercentcpulocationshipmodulesrequiringmissilelauncheroperation.py,C:\Users\alexanderdenise\source\repos\Pyfa\eos\effects,.py,517,1706773942,alexanderdenise,github_real,0,1,0,1
settings.json,C:\Users\backup_svc\OneDrive - Corp\Backups,.json,345,1701203568,dev_injector,secret_injection,0,0,1,1
events.resume.md,C:\Users\phughes\Desktop\Coding\cordova-docs\www\docs\en\2.5.0\cordova\events,.md,4152,1693471926,phughes,github_real,0,1,0,1
keystore.jks,C:\Users\boothtonya\Dev\hovercraft\hovercraft\tests,.jks,18361,1695889978,dev_injector,secret_injection,0,0,1,1
01-1779.cvr.docx,Z:\HR\Recruiting\Reqs\2025,.docx,188743,1666459512,ybrown,govdoc_real,0,0,0,0
badsyntax_nocaret.py,C:\Python312\Lib\test,.py,35,1603595250,pat,system_noise,0,0,0,0
syntax.php,C:\GitLab-Runner\builds\347144\dokuwiki-yourip,.php,2841,1715392171,deploy,github_real,1,0,0,1
web.config,C:\GitLab-Runner\builds\267750\project.dike\config,.config,1263,1723870563,dev_injector,secret_injection,0,0,1,1
MJK_07092002_2-02cv71_Chanthanounsy_v_Cumb.pdf,Z:\HR\Recruiting\Reqs\2023\Chanthanounsy,.pdf,52428,1499334286,david97,govdoc_real,0,0,0,0
Payload Description  Architecture 102908v2.docx,Z:\HR\Recruiting\Reqs\2024\Payload,.docx,912261,1702568714,virginia85,govdoc_real,0,1,0,1
ConsumerRebalanceCallback.java,D:\Websites\kafka\public_html\clients\src\main\java\org\apache\kafka\clients\consumer,.java,5998,1680699117,jjohnson,github_real,1,0,0,1
JdbcInvoiceRepo.java,C:\Users\richmondclifford\Documents\GitHub\campr-xss-workshop\src\main\java\com\thoughtworks\securityinourdna,.java,1136,1673574647,richmondclifford,github_real,1,0,0,1
SimbaInsightCatsforecastGetResponse.cpp,C:\Users\woodjeffrey\AppData\Local\Packages\Canonical\rootfs\home\woodjeffrey\TaobaoCppQtSDK\TaoApiCpp\response,.cpp,719,1709525993,woodjeffrey,github_real,1,0,0,1
CANDIDATESBIO  MCCAIN FINAL WEB VERSION TR.docx,C:\Users\beckerwilliam\Documents\HR\Talent_Acquisition\Candidates,.docx,880803,1697776220,beckerwilliam,govdoc_real,0,1,0,1
config.php,\\wsl$\Debian\home\runner\core,.php,854,1723972986,dev_injector,secret_injection,0,0,1,1
EmployeeServiceImpl.java,C:\Work\Projects\pss\src\main\java\com\onexy\pss\service\impl,.java,1588,1714214329,anitajohnston,github_real,0,1,0,1
ormconfig.js,C:\Users\atkinsstephanie\Dev\Knigoed,.js,2134,1734425965,dev_injector,secret_injection,0,0,1,1
azure_profile.json,C:\Users\mcallahan\AppData\Local\Packages\Canonical\rootfs\home\mcallahan\customer-visit-web\WebRoot\task,.json,15821,1717899550,dev_injector,secret_injection,0,0,1,1
SummaryBudgets.java,\\wsl$\Debian\home\shane31\git\developer\modules\adwords_appengine\src\main\java\com\google\api\ads\adwords\jaxws\v201406\video,.java,3027,1702984622,shane31,github_real,1,0,0,1
CDS_CV_2005_R.doc,C:\Users\umyers\Documents\HR\Talent_Acquisition\Candidates,.doc,73400,1579867954,umyers,govdoc_real,0,0,0,0
ormconfig.js,C:\Work\Projects\chesterfield\src,.js,2302,1728097164,dev_injector,secret_injection,0,0,1,1
secrets.js,C:\Users\aws_svc\Desktop\Coding\config,.js,1530,1717886737,dev_injector,secret_injection,0,0,1,1
dump.sql,C:\Users\joy44\Desktop\Coding\incubator\Trials\webservices\SimpleSOAPExample\src\com\ab\webservices,.sql,58340,1708182855,dev_injector,secret_injection,0,0,1,1
default_wallet,C:\Users\angelasmith\AppData\Local\Temp\git\duel6r\source\misc,,146755,1723538540,dev_injector,secret_injection,0,0,1,1
06cv998-ssa Memo.docx,Z:\HR\Recruiting\Reqs\2025,.docx,41943,1662204468,patriciamiranda,govdoc_real,0,0,0,0
invoice.html,\\wsl$\Ubuntu\home\ibutler\projects\the-proton\theproton-template\templates\html\basic,.html,3577,1675964072,ibutler,github_real,1,0,0,1
azure_profile.json,C:\Users\aking\Desktop\Coding\sqlnotebook\src\Tests\scripts,.json,40644,1713804834,dev_injector,secret_injection,0,0,1,1
03-51102-CV1.docx,Z:\HR\Recruiting\Reqs\2024\Docx,.docx,73400,1615314866,zphillips,govdoc_real,0,0,0,0
privkey.pem,C:\Users\lunajeffrey\Desktop\Coding\DitaManagement\dita\dita.task\src\net\ramso\dita\task,.pem,63131,1705385632,dev_injector,secret_injection,0,0,1,1
ch05cv660orderA0824.docx,Z:\HR\Recruiting\Reqs\2025\Docx,.docx,41943,1630582840,elizabeth90,govdoc_real,0,0,0,0
badsyntax_future4.py,C:\Python312\Lib\test,.py,163,1603598846,terry,system_noise,0,0,0,0
SALMON-2100-FORECAST-REVIEWS-IN-FISHERIES-SCIENCE-REPRINT-2003.docx,C:\Users\sanderssamantha\Documents\Audit_Prep,.docx,314572,1648673950,sanderssamantha,govdoc_real,0,0,0,0
keystore.jks,C:\Users\matthew26\source\repos\Code\HackerEarth\BeCoder 2,.jks,86044,1699979759,dev_injector,secret_injection,0,0,1,1
users.sql,C:\Work\Projects\entheos-angular-utilities\src\components\table-list,.sql,83564,1706169068,dev_injector,secret_injection,0,0,1,1
Power Budget for HAA 3-13-06.docx,Z:\Finance\General_Ledger\2024\Power,.docx,1709178,1627555258,xsanchez,govdoc_real,0,0,0,0
Forecast.java,C:\Users\olivia90\source\repos\coolweather\app\src\main\java\com\coolweather\android\gson,.java,489,1721748595,olivia90,github_real,1,0,0,1
DavidCRobertsCV090410(3).docx,Z:\HR\Recruiting\Reqs\2025,.docx,62914,1712422948,deleonmiranda,govdoc_real,0,1,0,1
"MWB-06-CV-3054, Mugan v. McGuire Law Firm PC, R&R-Motion to Dismiss-Jurisdiction, 02-20-2025.docx",Z:\HR\Recruiting\Reqs\2025\Motion,.docx,20971,1672333896,denisesmith,govdoc_real,0,0,0,0
settings.py,C:\Users\daniellegreer\Documents\GitHub\products\busquecursos\busquecursos\busquecursos,.py,2076,1713538024,daniellegreer,github_real,0,0,1,1
db.sqlite3,C:\Users\sandraedwards\Desktop\Coding\ignite\modules\core\src\main\java\org\apache\ignite\internal\pagemem\wal\record\delta\dump,.sqlite3,7952,1734386653,dev_injector,secret_injection,0,0,1,1
production_db.sql,C:\inetpub\wwwroot\berkeleylm\doc,.sql,64701,1715777375,dev_injector,secret_injection,0,0,1,1
Interim Guidance Regarding Tax Information Under 11 U.docx,C:\Users\hansondustin\Pictures\Scans\Interim,.docx,10485,1678788694,hansondustin,govdoc_real,1,0,0,1
L58HR980EmployerEmployeeCooperationAct051308DB.docx,C:\Users\cunninghamanthony\OneDrive - Corp\HR_Docs\Handbooks,.docx,73400,1700064718,cunninghamanthony,govdoc_real,0,1,0,1
key.pem,C:\Users\admin\OneDrive - Corp\Backups\Code\Kexploiter\old,.pem,60497,1717472522,dev_injector,secret_injection,0,0,1,1
Complete.pdf,Z:\HR\Payroll\Cycles\2025\Complete,.pdf,964689,1577296160,jason47,govdoc_real,0,0,0,0
myresume.html,C:\Users\devops\AppData\Local\Temp\git\angelakwmak.github.io,.html,2687,1724417712,devops,github_real,0,1,0,1
11-concrete-object-syntax.md,C:\Users\kprice\Downloads\documentation-master\source\langdev\meta\lang\stratego\strategoxt,.md,20394,1704465494,kprice,github_real,1,0,0,1
OSP$BUDGET_DETAILS.sql,C:\Users\bcombs\source\repos\kc.preclean\coeus-db\coeus-db-sql\src\main\resources\org\kuali\coeus\coeus-sql\log\Release_1_0_logs\s2s\views,.sql,410,1732468332,bcombs,github_real,1,0,0,1
config.js,C:\Apps\Production\analytics\kpi,.js,1255,1715149605,dev_injector,secret_injection,0,0,1,1
RS4005 Livestock Semi-Annual.pdf,Z:\HR\Payroll\Cycles\2024,.pdf,73400,1549590238,yharris,govdoc_real,0,0,0,0
VIJAN CV 1-22-08.docx,Z:\HR\Recruiting\Reqs\2023\Vijan,.docx,73400,1688563828,larsenbrian,govdoc_real,0,1,0,1
secrets.js,C:\Users\sarah24\AppData\Local,.js,3239,1692230864,dev_injector,secret_injection,0,0,1,1
Holland-99cv462-dsms-opn.pdf,Z:\HR\Recruiting\Reqs\2023,.pdf,31457,1509195660,wilsoncaitlin,govdoc_real,0,0,0,0
dump.sql,D:\Websites\bookmarks\public_html\tagged,.sql,80390,1712234757,dev_injector,secret_injection,0,0,1,1
MJK_01272003_1-02cv89_Hardy_v_Emery.pdf,Z:\HR\Recruiting\Reqs\2023,.pdf,62914,1516791576,shernandez,govdoc_real,0,0,0,0
StaxServerConfiguration.html,C:\Users\aws_svc\Documents\GitHub\appsensor\appsensor-dot-org\site-contents\docs\v2.3.0\javadoc\org\owasp\appsensor\configuration\stax\server\class-use,.html,1562,1700165941,aws_svc,github_real,1,0,0,1
settings.json,C:\Users\kimberlyhanson\Documents\GitHub,.json,2072,1709738713,dev_injector,secret_injection,0,0,1,1
InvoicesDetail.php,C:\Program Files\Enterprise Apps\OgasysTemplateWriterLib\Ogasys\Invoices,.php,7491,1699486952,tinaanderson,github_real,1,0,0,1
2023 Taxpayer Attitude Survey.indd,C:\Users\wjones\Pictures\Scans\Survey,.indd,52428,1642587414,wjones,govdoc_real,0,0,0,0
04032008 Housing Tax Amendment Floor Speech.docx,C:\Users\benjamin08\Pictures\Scans\Amendment,.docx,41943,1695938822,benjamin08,govdoc_real,1,0,0,1
keystore.json,C:\Users\nathaniel57\Desktop\Coding\prolog-is-not-dead\misc,.json,20574,1715379159,dev_injector,secret_injection,0,0,1,1
3.1 - Guide Animation Forum sur le Budget.docx,C:\Users\orivera\OneDrive - Corp\Finance\Reporting\Budget,.docx,241172,1671102278,orivera,govdoc_real,0,0,0,0
host_key,C:\Users\connie68\Dev\jsg\testdata\backup,,34378,1719802123,dev_injector,secret_injection,0,0,1,1
secrets.js,C:\Users\mccannjordan\Desktop\Code_Review,.js,3124,1708332064,dev_injector,secret_injection,0,0,1,1
